JK,JW,PLAFOND,SALDO_DEBET,JAMINAN,KOLEKTIBILITAS,,
L,6,36500000,7300000,"Japrod 2022, NATAL 2022, THR 2023",1,,
L,8,10000000,10000000,"Cutan Sept 2023, Natal 2023",1,,
P,4,10000000,10000000,Bilyet Deposito 85091-1224 an MM dhian Pratiwi W,1,,
L,12,24000000,24000000,"Japrod 2023, Natal 2023, THR 2024",1,,
P,60,40000000,18666560,Manfaat pensiuna,1,,
L,12,14000000,14000000,Japrod 2023,1,,
P,12,10000000,4026024,Gaji,1,,
P,60,15000000,8500000,pot gaji,1,,
P,6,4500000,4500000,Natal 2023 Dapen,1,,
L,60,30000000,27000000,Manfaat pensiun,1,,
P,11,18000000,18000000,Japrod 2023,1,,
P,12,7000000,7000000,Natal 2023,1,,
P,12,14000000,14000000,Japrod 2023,1,,
P,12,10000000,4154910,Gaji,1,,
P,11,30000000,30000000,"Japrod 2023, Natal 2023, THR 2024",1,,
L,7,20000000,20000000,"Natal 2023, Cutan Sept 2023",1,,
P,11,20000000,20000000,"Japrod 2023, Natal 2023",1,,
L,8,4000000,1500000,Manfaat pensiun,1,,
L,60,30000000,29000000,Manfaat pensiun,1,,
L,12,5000000,1249970,Manfaat pensiun,1,,
P,36,20000000,6666680,Manfaat pensiun,1,,
L,36,15000000,210000,Gaji,1,,
L,11,10000000,10000000,"Natal 2023, Cubes April 2024",1,,
L,84,100000000,77380880,pot gaji koperasi,1,,
L,12,10000000,0,Gaji,1,,
L,60,15000000,13000000,Gaji,1,,
L,5,6000000,6000000,Cutan Sept 2023,1,,
L,8,7000000,7000000,Natal 2023,1,,
L,12,10000000,8526104,Gaki,1,,
P,24,20000000,11666650,Manfaat pensiun,1,,
P,36,30000000,26516657,Gaji,1,,
P,12,60000000,60000000,"Japrod 2023, Natal 2023, THR 2024",1,,
L,12,15000000,15000000,"Natal 2023, Cubes April 2024",1,,
L,12,10000000,3354856,Gaji,1,,
L,8,14000000,14000000,Cubes Sept 2023,1,,
L,12,10000000,8572067,Gaji,1,,
L,10,16800000,5600000,"THR 2023, Cutan Juni 2023, Natal  2023",1,,
L,12,10000000,9119199,Gaji,1,,
L,4,12000000,12000000,Cutan Sept 2023,1,,
L,36,12000000,6999975,Kend rd 2 NoBPKB: L-09224682 dan NoJ-02070549,1,,
L,60,150000000,95000000,Gaji,1,,
L,12,10000000,0,Gaji,1,,
L,36,7500000,6041655,Manfaat pensiun,1,,
L,7,2500000,2500000,Natal 2023 Dapen,1,,
L,60,50000000,13608265,Manfaat pensiun,1,,
L,11,10000000,5000000,"THR 2023, Natal 2023",1,,
L,12,10000000,6530187,Gaji,1,,
P,12,10000000,0,Gaji,1,,
L,60,55000000,13749850,Manfaat pensiun,1,,
L,8,5000000,5000000,Natal 2023,1,,
P,48,25000000,20311000,Gaji,1,,
L,3,9000000,9000000,Cutan Sept 2023,1,,
P,36,12000000,9999990,Manfaat pensiun,1,,
P,120,165000000,151250000,Gaji,1,,
P,60,50000000,43066680,"Simpanan Berjangka No753, Nominal Rp50000000,--",1,,
P,24,25000000,25000000,"Simpanan Berjangka No1233, Nominal Rp30000000,--",1,,
P,24,25000000,25000000,"Simpanan Bjk No756,758,1023, Nominal Rp30000000,--",1,,
P,12,10000000,6912397,Gaji,1,,
L,84,38000000,18999830,Manfaat pensiun,1,,
L,60,25000000,24166660,Manfaat pensiun,1,,
L,11,5500000,5500000,"Cutan Sept 2023, Natal 2023",1,,
L,12,10000000,4487063,Gaji,1,,
P,60,50000000,45833325,Manfaat pensiun,1,,
P,36,20000000,11111040,Gaji,1,,
L,60,50000000,22499945,Manfaat pensiun,1,,
L,36,15000000,13749990,Gaji,1,,
P,24,20000000,16666660,Gaji,1,,
P,9,12000000,6000000,"THR 2023, Natal 2023",1,,
P,12,18000000,18000000,Japrod 2023,1,,
P,60,50000000,47499995,Gaji,1,,
P,12,43000000,43000000,"Japrod 2023, Natal 2023, THR 2024",1,,
P,9,32000000,24000000,"THR 2023, Cubes Okt 2023, Natal 2023",1,,
P,60,21000000,13650000,Gaji,1,,
P,12,14000000,14000000,"Natal 2023, Cutan Sept 2023",1,,
P,12,7000000,7000000,THR 2024,1,,
P,12,21000000,21000000,Japrod 2023,1,,
P,12,10000000,4188455,Gaji,1,,
L,60,15000000,14250000,Manfaat pensiun,1,,
L,60,40000000,17999890,Gaji,1,,
L,11,10000000,10000000,Cutan Maret 2024,1,,
L,12,32000000,32000000,Japrod 2023,1,,
L,10,21600000,21600000,"THR 2024, Natal 2023",1,,
L,12,10000000,4373443,Gaji,1,,
P,9,13000000,13000000,"Natal 2023, Cutan Sept 2023",1,,
P,11,6750000,6750000,Natal 2023,1,,
P,12,20100000,20100000,Japrod 2023,1,,
P,72,125000000,112847195,Gaji,1,,
P,12,10000000,3000000,Gaji,1,,
L,60,40000000,35333310,Gaji,1,,
L,12,25000000,25000000,"Japrod 2023, THR 2024",1,,
L,9,6000000,6000000,Natal 2023,1,,
L,11,6000000,6000000,THR 2024,1,,
L,12,18000000,18000000,Japrod 2023,1,,
L,12,10000000,4273481,Gaji,1,,
P,48,15000000,2500000,Gaji,1,,
P,12,38500000,38500000,"Japrod 2023, THR 2024, Natal 2023",1,,
P,12,10000000,4758750,Gaji,1,,
L,48,20000000,16666640,Manfaat pensiun,1,,
L,10,2000000,2000000,Natal Dapen 2023,1,,
L,11,2000000,2000000,THR 2024 Dapen,1,,
P,10,13000000,13000000,Cutan Sept 2023 dan Natal 2023,1,,
P,12,6500000,6500000,THR 2024,1,,
P,12,19500000,19500000,Japrod 2023,1,,
P,12,10000000,3281481,Gaji,1,,
L,60,50000000,45833325,Kend rd 4 Merk Totota Sienta Th2017,1,,
L,24,7000000,4666640,Gaji,1,,
L,11,6800000,6800000,Japrod 2023,1,,
L,48,40000000,29145710,Gaji,1,,
L,60,60000000,20000000,Manfaat pensiun,1,,
L,60,20000000,17333320,Gaji,1,,
L,11,5000000,5000000,Natal 2023,1,,
L,12,15000000,15000000,"THR 2024, Cubes April 2024",1,,
L,11,15000000,15000000,Japrod 2023,1,,
L,12,10000000,9792237,Gaji,1,,
P,120,100000000,73041625,Gaji,1,,
P,12,10000000,4000000,Gaji,1,,
L,60,60000000,55000000,pot manfaat pensiun,1,,
L,11,6000000,3000000,"THR 2023, Natal 2023",1,,
P,11,10000000,10000000,"Cutan Sept 2023, Natal 2023",1,,
L,36,15000000,7083270,pot gaji,1,,
L,12,15000000,15000000,Japrod 2023,1,,
L,60,20000000,16666650,pot manfaat pensiun,1,,
L,11,15000000,15000000,"Japrod 2023, THR 2024",1,,
L,60,15000000,7750000,pot gaji,1,,
L,36,10000000,3888840,pot manfaat pensiunan,1,,
L,60,85000000,72249970,pot manfaat pensiun,1,,
L,12,6000000,6000000,Natal 2023,1,,
P,36,30000000,19999980,pot manfaat pensiun,1,,
P,6,3000000,3000000,Natal Dapen 2024,1,,
L,11,10000000,10000000,"Natal 2023, Cutan Maret 2024",1,,
L,12,15000000,15000000,Japrod 2023,1,,
L,12,10000000,4528513,Gaji,1,,
L,36,15000000,10416630,Gaji,1,,
L,48,50000000,28124930,Gaji,1,,
L,12,10000000,6536750,Gaji,1,,
L,60,120000000,80000000,Gaji,1,,
L,12,10000000,4500000,Gaji,1,,
L,12,25000000,25000000,"Japrod 2023, Natal 2023, THR 2024",1,,
L,72,400000000,333333280,Gaji,1,,
L,48,55000000,44688535,Gaji,1,,
L,48,80000000,60000000,Natal Koperasi dan THR Koperasi tiap tahun,1,,
L,12,35000000,35000000,PENJUALAN MOTOR,1,,
L,12,20000000,20000000,"Natal 2023 Dapen, THR 2024 Dapen",1,,
L,12,10000000,9004815,Gaji,1,,
P,12,18000000,18000000,Japrod 2023,1,,
P,60,35000000,31840665,Gaji,1,,
P,11,25000000,25000000,"Japrod 2023, Natal 2023",1,,
L,12,7500000,4375000,pot gaji,1,,
L,48,20000000,15416630,pot gaji,1,,
L,5,5000000,5000000,Cutan Sept 2023,1,,
L,36,45000000,45000000,pot gaji,1,,
L,12,24000000,24000000,Cubes Sept 2023,1,,
L,12,12000000,12000000,Natal 2023,1,,
L,12,12000000,12000000,THR 2024,1,,
L,12,36000000,36000000,Japrod 2023,1,,
L,12,10000000,4242062,Gaji,1,,
L,12,10000000,6666660,Gaji,1,,
P,9,21000000,14000000,"THR 2023, Natal 2023, Cutan Sept 2023",1,,
L,10,14000000,7000000,"Natal 2023, THR 2023",1,,
L,11,21000000,21000000,Japrod 2023,1,,
P,11,42000000,42000000,"Japrod 2023, Natal 2023, THR 2024",1,,
P,60,100000000,88333310,Gaji,1,,
P,12,10000000,6450000,Gaji,1,,
P,12,20000000,20000000,"Natal 2023, THR 2024",1,,
P,12,40000000,40000000,"Japrod 2022, Cutan Juni 2024",1,,
P,60,45000000,19500000,Gaji,1,,
P,12,10000000,10000000,Cubes Maret 2024,1,,
P,60,50000000,46666660,Gaji,1,,
P,12,18000000,18000000,"Natal 2023, THR 2024",1,,
P,12,10000000,8164447,Gaji,1,,
P,60,100000000,83333320,"Simpanan Bjk No1010,1011,1037  Nominal Rp100000000,--",1,,
L,12,15000000,15000000,"Natal 2023, THR 2024",1,,
L,11,21000000,21000000,Japrod 2023,1,,
L,60,50000000,43333320,Gaji,1,,
P,48,26000000,23291650,Manfaat pensiun,1,,
L,60,60000000,27610000,Gaji,1,,
P,36,20000000,19444440,Gaji,1,,
P,11,14000000,7000000,"THR 2023, Cutan Sept 2023",1,,
L,36,20000000,322065,Gaji,1,,
P,60,21000000,6300000,Gaji,1,,
P,60,200000000,159999980,Gaji,1,,
P,60,300000000,245000000,"Simpanan Bjk No765, Nominal Rp300000000,--",1,,
P,60,200000000,193266670,"Simpanan Bjk No833, Nominal Rp200000000,--",1,,
P,12,10000000,9983207,Gaji,1,,
L,60,18000000,6000000,Manfaat pensiun,1,,
L,60,30000000,18500000,Manfaat pensiun,1,,
L,60,90000000,66000000,Manfaat pensiun,1,,
L,36,7500000,6458325,Manfaat pensiun,1,,
L,12,20000000,20000000,"Natal 2023, Japrod 2023",1,,
L,12,10000000,4349890,Gaji,1,,
P,60,25000000,23749990,Manfaat pensiun,1,,
L,8,9500000,9500000,Natal 2023,1,,
L,24,10000000,5416630,Gaji,1,,
L,60,40000000,33333300,Manfaat pensiun,1,,
P,60,20000000,11666625,Manfaat pensiun,1,,
L,36,7500000,5833320,Gaji,1,,
P,10,10000000,10000000,"Natal 2023, Cubes Jan 2024",1,,
L,60,32000000,17066620,Manfaat pensiun,1,,
P,60,20000000,11433290,Manfaat pensiun,1,,
L,60,35000000,25083305,Manfaat pensiun,1,,
L,48,18000000,17625000,Manfaat pensiun,1,,
L,11,20000000,20000000,"THR 2024, Natal 2023",1,,
P,24,10000000,6666640,Manfaat pensiun,1,,
P,8,3000000,3000000,Natal Dapen 2023,1,,
P,48,19000000,16624990,Gaji,1,,
P,10,7000000,7000000,NATAL  2023,1,,
P,12,10000000,4444088,Gaji,1,,
L,6,50000000,50000000,"Termijn Proyek Penyiangan penataan &inpit Arsip Capem Tawangsari, Penyediaan Jasa Tenaga Arsip Cab Bre",1,,
L,9,11500000,11500000,"Cutan Sept 2023, Natal 2023",1,,
L,11,16500000,16500000,"Japrod 2023, THR 2024",1,,
P,120,100000000,71559230,Gaji,1,,
P,12,19600000,19600000,"Natal 2023 , Cuti Maret 2024",1,,
P,12,9000000,9000000,THR 2024,1,,
P,12,30000000,30000000,Japrod 2023,1,,
P,12,10000000,10000000,Gaji,1,,
P,60,200000000,123333295,Sertifikat SHM No2786,1,,
P,12,50000000,50000000,"Japrod 2023, Natal 2023, THR 2024",1,,
P,12,10000000,4237939,Gaji,1,,
L,36,10000000,7499980,Gaji,1,,
L,11,15000000,15000000,Japrod 2023,1,,
L,12,10000000,10000000,"Natal 2023, THR 2024",1,,
P,11,26000000,26000000,Japrod 2023,1,,
P,48,25000000,8854115,Gaji,1,,
L,24,20000000,17505000,Gaji,1,,
L,5,6500000,6500000,Cutan Sept 2023,1,,
P,60,40000000,15999880,Gaji,1,,
L,24,40000000,34999990,Manfaat pensiun,1,,
L,120,75000000,48750000,Manfaat pensiun,1,,
L,12,15000000,15000000,"Japrod 2023, Natal 2023",1,,
L,24,5000000,3541655,Kend rd 2 Merk Yamaha Tahun 2014,1,,
L,60,15000000,14250000,Manfaat pensiun,1,,
P,36,15000000,14550000,Manfaat pensiun,1,,
L,36,25000000,19444440,Manfaat pensiun,1,,
L,36,25000000,15277770,Manfaat pensiun,1,,
P,12,3000000,2250000,Manfaat pensiun,1,,
P,9,27000000,27000000,"THR 2024, Natal 2023, Cutan Sept 2023",1,,
P,11,27000000,27000000,Japrod 2023,1,,
L,60,40000000,4466520,Manfaat pensiun,1,,
L,36,20000000,16111115,Manfaat pensiun,1,,
L,60,250000000,208333300,Manfaat pensiun,1,,
L,11,5600000,2800000,THR 2023,1,,
L,12,10000000,10000000,"Japrod 2023, THR 2024",1,,
L,12,10000000,4165657,Gaji,1,,
L,60,35000000,9916595,Kend rd 2 BPKB No: G-16412391,1,,
L,12,15000000,15000000,"THR 2024, Cubes April 2024",1,,
L,60,15000000,13250000,Gaji,1,,
L,11,5000000,5000000,Natal 2023,1,,
L,12,5000000,5000000,THR 2024,1,,
L,11,15000000,15000000,Japrod 2023,1,,
L,12,10000000,4175025,Gaji,1,,
L,48,50000000,45833320,Manfaat pensiun,1,,
L,60,70000000,54833290,Manfaat pensiun,1,,
L,60,20000000,16666650,Manfaat pensiun,1,,
L,60,20000000,8333275,Manfaat pensiun,1,,
L,48,50000000,21874910,Manfaat pensiun,1,,
L,12,10000000,4057908,Gaji,1,,
L,60,60000000,28000000,Gaji,1,,
L,9,20000000,20000000,"Cutan Sept 2023, Natal 2023",1,,
L,11,10000000,10000000,THR 2024,1,,
L,12,30000000,30000000,Japrod 2023,1,,
L,36,20000000,5526710,Gaji,1,,
P,24,5000000,833300,Manfaat pensiun,1,,
P,60,10000000,9333320,Manfaat pensiun,1,,
P,7,4000000,4000000,Natal 2023,1,,
P,48,30000000,25000000,Manfaat pensiun,1,,
P,12,2500000,2500000,THR 2024 Dapen,1,,
P,60,8000000,7466660,Manfaat pensiun,1,,
P,48,100000000,100000000,Manfaat pensiun,1,,
P,11,8800000,8800000,"Natal 2023 Dapen, THR 2024 Dapen",1,,
P,60,40000000,40000000,Manfaat pensiun,1,,
P,60,50000000,43200000,Gaji,1,,
P,120,165000000,155375000,Gaji,1,,
P,11,10000000,10000000,Natal 2023 Dapen & Kop,1,,
P,11,16000000,16000000,"THR Dapen 2024, THR Kop 2024, SHU Kop",1,,
P,12,10000000,10000000,Gaji,1,,
L,60,250000000,149999920,Manfaat pensiun,1,,
P,12,10000000,4137971,Manfaat pensiun,1,,
L,12,17000000,17000000,"Natal 2023, THR 2024",1,,
P,12,10000000,4188797,Gaji,1,,
P,60,70000000,22164730,Gaji,1,,
L,8,11000000,11000000,Natal 2023,1,,
L,12,33000000,33000000,Japrod 2023,1,,
L,36,12000000,7214975,Gaji,1,,
L,9,9000000,4500000,"THR 2023, Natal 2023",1,,
L,11,9000000,9000000,"Cutan Sept 2023, THR 2024",1,,
L,60,35000000,15166610,Manfaat pensiun,1,,
L,60,15000000,10250000,Manfaat pensiun,1,,
L,11,4500000,4500000,Natal 2023,1,,
L,12,14500000,14500000,Japrod 2023,1,,
L,36,27000000,25500000,Manfaat pensiun,1,,
L,36,20000000,16666640,Gaji,1,,
P,24,15000000,10625000,Manfaat pensiun,1,,
L,60,20000000,9999950,Manfaat pensiun,1,,
L,48,20000000,11660000,Gaji,1,,
L,36,25000000,19444440,Manfaat pensiun,1,,
L,7,6000000,6000000,Natal 2023 Dapen,1,,
L,12,10000000,5000000,"Natal Dapen 2023, THR 2023",1,,
L,24,30000000,21250000,Gaji,1,,
L,60,25000000,9583210,Gaji,1,,
P,9,10000000,5000000,"Natal 2023, THR 2023",1,,
L,11,20000000,20000000,"Japrod 2023, THR 2024",1,,
L,36,20000000,17777760,Kend rd 2 Merk Yamaha Tahun 2020,1,,
L,12,10000000,4209199,Gaji,1,,
L,60,50000000,35000024,Gaji,1,,
L,48,25000000,18749980,Manfaat pensiun,1,,
L,24,5000000,3333320,Gaji,1,,
L,12,4000000,4000000,Natal 2023,1,,
L,12,4000000,4000000,Cutan Maret 2024,1,,
L,12,16000000,16000000,"Japrod 2023, THR 2024",1,,
L,36,12500000,10416650,Manfaat pensiun,1,,
L,24,10000000,4999960,Gaji,1,,
L,60,60000000,59000000,Manfaat pensiun,1,,
P,48,12000000,8250000,Manfaat pensiun,1,,
P,9,1000000,1000000,Natal 2023 Dapen,1,,
L,60,30000000,9850000,Gaji,1,,
L,12,40000000,40000000,"Japrod 2023, Natal 2023, THR 2024",1,,
L,36,5000000,1527750,Gaji,1,,
L,11,9000000,9000000,Japrod 2023,1,,
L,24,15000000,12500000,Manfaat pensiun,1,,
L,60,100000000,79866700,Manfaat pensiun,1,,
P,36,21000000,11083305,Manfaat pensiun,1,,
L,60,35000000,5833250,Manfaat pensiun,1,,
L,6,75000000,75000000,JHT Dapen Okt 2023,1,,
L,60,18500000,17266660,Manfaat pensiun,1,,
L,10,8000000,4000000,"THR 2023, Natal 2023 dari Dapen",1,,
L,12,4000000,4000000,THR Dapen 2024,1,,
L,12,10000000,8755387,Manfaat pensiun,1,,
P,24,2000000,1249985,Manfaat pensiun,1,,
P,24,20000000,20000000,Gaji,1,,
P,12,10000000,9339197,Gaji,1,,
L,60,45000000,43500000,Gaji,1,,
L,11,6500000,6500000,Natal 2023,1,,
L,12,6500000,6500000,THR 2024,1,,
L,12,19000000,19000000,Japrod 2023,1,,
P,60,65000000,53079685,Gaji,1,,
P,12,22000000,22000000,"Natal 2023, Cutan Maret 2024",1,,
P,11,35000000,35000000,Japrod 2023,1,,
P,12,10000000,3740901,Gaji,1,,
L,9,30000000,20000000,"THR 2023, Natal 2022, Cutan Sept 2023",1,,
L,18,6000000,2999985,Kend rd 2 tahun 2008,1,,
L,24,15000000,13125000,Kend rd 2 Merk Yamaha Tahun 2006,1,,
P,60,25000000,12083230,Gaji,1,,
P,12,12000000,12000000,Cutan Maret 2024,1,,
P,12,12000000,12000000,THR 2024,1,,
P,12,44500000,44500000,"Natal 2023, Japrod 2023",1,,
P,24,15000000,8125000,Manfaat pensiun,1,,
P,11,10000000,10000000,"Natal 2023, THR 2024",1,,
P,11,15000000,15000000,Japrod 2023,1,,
P,60,50000000,30833295,Gaji,1,,
P,11,44000000,44000000,"Japrod 2023, Natal 2023, THR 2024",1,,
P,60,100000000,46666560,Gaji,1,,
P,60,85000000,53833260,2 Unit Kend Rd 2,1,,
P,12,23000000,11500000,"Natal 2023, CUTI JUNI 2023",1,,
P,12,35000000,35000000,Japrod 2023,1,,
P,12,23000000,23000000,"THR 2024, Cutan Juni 2024",1,,
L,24,10000000,8333320,Gaji,1,,
L,11,4800000,4800000,Natal 2023,1,,
P,60,30000000,22000000,Manfaat pensiun,1,,
P,48,60000000,47500000,Gaji,1,,
L,60,10000000,10000000,Gaji,1,,
P,36,25000000,14583325,Manfaat pensiun,1,,
L,60,35000000,27999980,Manfaat pensiun,1,,
L,11,30000000,30000000,"Japrod 2023, Natal 2023, THR 2024",1,,
L,36,20000000,15555520,Gaji,1,,
P,36,25000000,20138885,Manfaat pensiun,1,,
P,7,2000000,2000000,Natal 2023 Dapen,1,,
P,9,19200000,12800000,"Natal 2023 Cutan Sept 2023, THR 2023",1,,
P,12,19200000,19200000,Japrod 2023,1,,
P,12,10000000,5736000,Gaji,1,,
L,36,13000000,3249895,Kend rd 2 Merk Honda Tahun 2003,1,,
P,120,125000000,101041590,Gaji,1,,
P,60,25000000,21278360,"Simpanan BJK No1177, Nominal Rp25 Juta",1,,
P,12,10000000,9999120,Gaji,1,,
L,60,50000000,13318740,Gaji,1,,
L,12,30000000,30000000,"Cutan Sept 2023, Natal 2023, THR 2024",1,,
L,11,44000000,44000000,Japrod 2023,1,,
L,60,30000000,25500000,Gaji,1,,
L,10,6500000,6500000,Cutan Sept 2023,1,,
L,11,16000000,16000000,Japrod 2023,1,,
P,11,11000000,11000000,Natal 2023,1,,
P,12,11000000,11000000,Cutan Maret 2023,1,,
P,12,44000000,44000000,"THR 2024, Japrod 2023",1,,
P,12,10000000,9005552,Gaji,1,,
P,24,26000000,21666660,Gaji,1,,
L,11,33500000,33500000,"Japrod 2023, Natal 2023, THR 2024",1,,
L,3,6000000,6000000,Cutan Sept 2023,1,,
L,12,10000000,10000000,"Natal 2023, THR 2024",1,,
L,11,15000000,15000000,Japrod 2023,1,,
L,24,20000000,1598370,Gaji,1,,
L,24,20000000,833295,Manfaat pensiun,1,,
L,60,115000000,86249950,Gaji,1,,
L,12,8000000,3999980,Gaji,1,,
L,36,10000000,9166660,Gaji,1,,
L,12,10000000,7075921,Gaji,1,,
L,60,25000000,7083190,Manfaat pensiun,1,,
L,60,60000000,29000000,Manfaat pensiun,1,,
L,8,14000000,14000000,"Cutan Sept 2023, Natal 2023",1,,
P,60,30000000,19000000,Gaji,1,,
L,60,100000000,71316610,Kend rd 2 Merk Kawasaki Tahun 2022,1,,
L,48,60000000,58750000,Gaji,1,,
L,12,10000000,9999191,Gaji,1,,
P,60,25000000,9999880,Manfaat pensiun,1,,
P,6,4600000,4600000,Natal 2023 Dapen,1,,
P,84,70000000,30833255, BPKB MOTOR HONDA TAHUN 2016 NOPOL H 5654 RS,1,,
L,48,20000000,9166580,Gaji,1,,
L,12,10000000,5000000,"Natal 2022, THR 2023, Japrod 2022",1,,
L,12,10000000,4376411,Gaji,1,,
L,24,10000000,9166660,Kend rd 2 Merk Honda Tahun 2014,1,,
L,60,15000000,12000000,Gaji,1,,
L,11,30000000,30000000,"Japrod 2023, Natal 2023, THR 2024",1,,
L,12,10000000,872262,Gaji,1,,
P,48,35000000,21145770,Gaji,1,,
L,10,33000000,11000000,"THR 2023, Cutan Juni 2023, Natal 2023",1,,
L,11,33000000,33000000,Japrod 2023,1,,
P,48,25000000,21354155,Gaji,1,,
P,12,50000000,50000000,"Japrod 2023, Natal 2023, THR 2024",1,,
L,10,10000000,10000000,Natal 2023,1,,
L,12,10000000,10000000,THR 2024,1,,
L,12,30000000,30000000,Japrod 2023,1,,
L,12,10000000,4214384,Gaji,1,,
L,36,20000000,7775370,Gaji,1,,
L,6,5000000,5000000,Cutan Sept 2023,1,,
L,7,5000000,5000000,Natal 2023,1,,
L,12,10000000,10000000,Japrod 2023,1,,
 ,,25271758000,20000152489,,,,